yaml_id,base_depth,f_FH_target,f_WS_target,inf_ratio,success_rate_pct,n_eval,n_FH,n_WS,n_MISS
cp1_spatial_pool_16__grid_vision_0@62_vision_1@37__d3__fh15_ws20_quantile,3,0.15,0.2,0.774,87.0,5802,1039,1089,3674
cp1_spatial_pool_16__grid_vision_0@62_vision_1@37__d3__fh20_ws5_quantile,3,0.2,0.05,0.7741,87.0,5877,1268,238,4371
cp1_spatial_pool_16__grid_vision_0@62_vision_1@37__d3__fh5_ws10_quantile,3,0.05,0.1,0.8022,83.0,6112,930,1116,4066
cp1_spatial_pool_16__grid_vision_0@62_vision_1@37__d3__fh5_ws5_quantile,3,0.05,0.05,0.8088,87.0,5932,1033,405,4494
cp1_spatial_pool_16__grid_vision_0@62_vision_1@37__d3__fh10_ws30_quantile,3,0.1,0.3,0.8205,89.0,5755,589,1775,3391
cp1_spatial_pool_16__grid_vision_0@62_vision_1@37__d3__fh5_ws40_quantile,3,0.05,0.4,0.8459,93.0,5467,303,2158,3006
cp1_spatial_pool_16__grid_vision_0@62_vision_1@37__d3__fh10_ws10_quantile,3,0.1,0.1,0.8791,88.0,5672,528,631,4513
cp1_spatial_pool_16__grid_vision_0@62_vision_1@37__d3__fh10_ws5_quantile,3,0.1,0.05,0.8913,96.0,5513,511,353,4649
cp1_spatial_pool_16__grid_vision_0@62_vision_1@37__d3__fh5_ws20_quantile,3,0.05,0.2,0.8914,97.0,5289,297,1110,3882
cp1_spatial_pool_16__grid_vision_0@62_vision_1@37__d3__anchor_allmiss,3,,,1.0,84.0,6066,0,0,6066
cp1_spatial_pool_16__grid3_vision_0@25_vision_1@43_robot_state@31__d4__fh80_ws10_quantile,4,0.8,0.1,0.3318,50.0,7975,4858,1885,1232
cp1_spatial_pool_16__grid3_vision_0@25_vision_1@43_robot_state@31__d4__fh80_ws5_quantile,4,0.8,0.05,0.3811,55.0,7803,4573,1025,2205
cp1_spatial_pool_16__grid3_vision_0@25_vision_1@43_robot_state@31__d4__fh70_ws20_quantile,4,0.7,0.2,0.4249,55.0,7951,3858,2860,1233
cp1_spatial_pool_16__grid3_vision_0@25_vision_1@43_robot_state@31__d4__fh60_ws20_quantile,4,0.6,0.2,0.451,65.0,7402,3691,1491,2220
cp1_spatial_pool_16__grid3_vision_0@25_vision_1@43_robot_state@31__d4__fh70_ws10_quantile,4,0.7,0.1,0.4665,71.0,7113,3461,1335,2317
cp1_spatial_pool_16__grid3_vision_0@25_vision_1@43_robot_state@31__d4__fh50_ws40_quantile,4,0.5,0.4,0.5064,57.0,7660,2915,3464,1281
cp1_spatial_pool_16__grid3_vision_0@25_vision_1@43_robot_state@31__d4__fh60_ws30_quantile,4,0.6,0.3,0.5224,61.0,7422,2599,3782,1041
cp1_spatial_pool_16__grid3_vision_0@25_vision_1@43_robot_state@31__d4__fh70_ws5_quantile,4,0.7,0.05,0.5227,69.0,7196,3296,556,3344
cp1_spatial_pool_16__grid3_vision_0@25_vision_1@43_robot_state@31__d4__fh60_ws5_quantile,4,0.6,0.05,0.5228,66.0,7497,3520,230,3747
cp1_spatial_pool_16__grid3_vision_0@25_vision_1@43_robot_state@31__d4__fh50_ws20_quantile,4,0.5,0.2,0.5417,64.0,7300,3114,927,3259
cp1_spatial_pool_16__grid3_vision_0@25_vision_1@43_robot_state@31__d4__fh40_ws30_quantile,4,0.4,0.3,0.5455,68.0,7265,2960,1367,2938
cp1_spatial_pool_16__grid3_vision_0@25_vision_1@43_robot_state@31__d4__fh40_ws10_quantile,4,0.4,0.1,0.5786,69.0,7067,2895,331,3841
cp1_spatial_pool_16__grid3_vision_0@25_vision_1@43_robot_state@31__d4__fh40_ws5_quantile,4,0.4,0.05,0.5805,70.0,6987,2892,156,3939
cp1_spatial_pool_16__grid3_vision_0@25_vision_1@43_robot_state@31__d4__fh50_ws30_quantile,4,0.5,0.3,0.5976,74.0,6743,2028,2741,1974
cp1_spatial_pool_16__grid3_vision_0@25_vision_1@43_robot_state@31__d4__fh30_ws40_quantile,4,0.3,0.4,0.6034,65.0,7201,2418,1751,3032
cp1_spatial_pool_16__grid3_vision_0@25_vision_1@43_robot_state@31__d4__fh60_ws10_quantile,4,0.6,0.1,0.6151,72.0,7031,2527,717,3787
cp1_spatial_pool_16__grid3_vision_0@25_vision_1@43_robot_state@31__d4__fh30_ws20_quantile,4,0.3,0.2,0.6276,73.0,6951,2426,650,3875
cp1_spatial_pool_16__grid3_vision_0@25_vision_1@43_robot_state@31__d4__fh40_ws40_quantile,4,0.4,0.4,0.6316,79.0,6429,1593,3102,1734
cp1_spatial_pool_16__grid3_vision_0@25_vision_1@43_robot_state@31__d4__fh20_ws40_quantile,4,0.2,0.4,0.6325,81.0,6608,1982,1786,2840
cp1_spatial_pool_16__grid3_vision_0@25_vision_1@43_robot_state@31__d4__fh25_ws30_quantile,4,0.25,0.3,0.6336,70.0,6882,2246,1103,3533
cp1_spatial_pool_16__grid3_vision_0@25_vision_1@43_robot_state@31__d4__fh20_ws20_quantile,4,0.2,0.2,0.6634,77.0,6553,2030,703,3820
cp1_spatial_pool_16__grid3_vision_0@25_vision_1@43_robot_state@31__d4__fh25_ws10_quantile,4,0.25,0.1,0.6729,66.0,7137,2259,301,4577
cp1_spatial_pool_16__grid3_vision_0@25_vision_1@43_robot_state@31__d4__fh50_ws10_quantile,4,0.5,0.1,0.687,76.0,6807,1961,679,4167
cp1_spatial_pool_16__grid3_vision_0@25_vision_1@43_robot_state@31__d4__fh25_ws5_quantile,4,0.25,0.05,0.6875,66.0,7116,2193,124,4799
cp1_spatial_pool_16__grid3_vision_0@25_vision_1@43_robot_state@31__d4__fh40_ws20_quantile,4,0.4,0.2,0.688,83.0,6222,1689,1008,3525
cp1_spatial_pool_16__grid3_vision_0@25_vision_1@43_robot_state@31__d4__fh50_ws5_quantile,4,0.5,0.05,0.6931,78.0,6614,1960,279,4375
cp1_spatial_pool_16__grid3_vision_0@25_vision_1@43_robot_state@31__d4__fh15_ws30_quantile,4,0.15,0.3,0.7051,77.0,6688,1642,1320,3726
cp1_spatial_pool_16__grid3_vision_0@25_vision_1@43_robot_state@31__d4__fh15_ws5_quantile,4,0.15,0.05,0.7272,75.0,6459,1683,317,4459
cp1_spatial_pool_16__grid3_vision_0@25_vision_1@43_robot_state@31__d4__fh10_ws40_quantile,4,0.1,0.4,0.7321,79.0,6516,1237,2035,3244
cp1_spatial_pool_16__grid3_vision_0@25_vision_1@43_robot_state@31__d4__fh15_ws10_quantile,4,0.15,0.1,0.7396,77.0,6464,1550,532,4382
cp1_spatial_pool_16__grid3_vision_0@25_vision_1@43_robot_state@31__d4__fh25_ws40_quantile,4,0.25,0.4,0.7436,89.0,5864,908,2381,2575
cp1_spatial_pool_16__grid3_vision_0@25_vision_1@43_robot_state@31__d4__fh30_ws30_quantile,4,0.3,0.3,0.7476,86.0,6064,1123,1630,3311
cp1_spatial_pool_16__grid3_vision_0@25_vision_1@43_robot_state@31__d4__fh10_ws20_quantile,4,0.1,0.2,0.7714,77.0,6483,1220,1047,4216
cp1_spatial_pool_16__grid3_vision_0@25_vision_1@43_robot_state@31__d4__fh30_ws10_quantile,4,0.3,0.1,0.8054,81.0,6380,1132,439,4809
cp1_spatial_pool_16__grid3_vision_0@25_vision_1@43_robot_state@31__d4__fh30_ws5_quantile,4,0.3,0.05,0.8092,87.0,6068,1106,208,4754
cp1_spatial_pool_16__grid3_vision_0@25_vision_1@43_robot_state@31__d4__fh5_ws30_quantile,4,0.05,0.3,0.8108,80.0,6202,726,1789,3687
cp1_spatial_pool_16__grid3_vision_0@25_vision_1@43_robot_state@31__d4__fh20_ws30_quantile,4,0.2,0.3,0.8186,92.0,5594,666,1394,3534
cp1_spatial_pool_16__grid3_vision_0@25_vision_1@43_robot_state@31__d4__fh25_ws20_quantile,4,0.25,0.2,0.8239,87.0,5864,823,838,4203
cp1_spatial_pool_16__grid3_vision_0@25_vision_1@43_robot_state@31__d4__fh15_ws40_quantile,4,0.15,0.4,0.8559,92.0,5658,351,1857,3450
cp1_spatial_pool_16__grid3_vision_0@25_vision_1@43_robot_state@31__d4__fh5_ws10_quantile,4,0.05,0.1,0.8598,74.0,6537,760,625,5152
cp1_spatial_pool_16__grid3_vision_0@25_vision_1@43_robot_state@31__d4__fh20_ws10_quantile,4,0.2,0.1,0.8741,92.0,5524,600,381,4543
cp1_spatial_pool_16__grid3_vision_0@25_vision_1@43_robot_state@31__d4__fh20_ws5_quantile,4,0.2,0.05,0.8798,94.0,5485,605,217,4663
cp1_spatial_pool_16__grid3_vision_0@25_vision_1@43_robot_state@31__d4__fh15_ws20_quantile,4,0.15,0.2,0.8872,97.0,5341,394,833,4114
cp1_spatial_pool_16__grid3_vision_0@25_vision_1@43_robot_state@31__d4__fh5_ws5_quantile,4,0.05,0.05,0.9001,81.0,6196,549,279,5368
cp1_spatial_pool_16__grid3_vision_0@25_vision_1@43_robot_state@31__d4__fh10_ws30_quantile,4,0.1,0.3,0.914,93.0,5419,157,1237,4025
cp1_spatial_pool_16__grid3_vision_0@25_vision_1@43_robot_state@31__d4__fh5_ws40_quantile,4,0.05,0.4,0.9266,92.0,5518,15,1561,3942
cp1_spatial_pool_16__grid3_vision_0@25_vision_1@43_robot_state@31__d4__fh10_ws10_quantile,4,0.1,0.1,0.957,93.0,5548,141,390,5017
cp1_spatial_pool_16__grid3_vision_0@25_vision_1@43_robot_state@31__d4__fh5_ws20_quantile,4,0.05,0.2,0.9622,93.0,5503,18,760,4725
cp1_spatial_pool_16__grid3_vision_0@25_vision_1@43_robot_state@31__d4__fh10_ws5_quantile,4,0.1,0.05,0.9689,91.0,5619,136,154,5329
cp1_spatial_pool_16__grid3_vision_0@25_vision_1@43_robot_state@31__d4__anchor_allmiss,4,,,1.0,86.0,5927,0,0,5927
cp1_spatial_pool_16__grid_vision_0@50_vision_1@50__d5__fh80_ws10_quantile,5,0.8,0.1,0.3072,56.0,7707,4922,1671,1114
cp1_spatial_pool_16__grid_vision_0@50_vision_1@50__d5__fh80_ws5_quantile,5,0.8,0.05,0.3743,69.0,7128,4190,1079,1859
